abs time (s),Fx,Fy,Fz,|Ft|,Ax,Ay,COM px,COM py,COM pz,Fx,Fy,Fz,|Ft|,Ax,Ay,COM px,COM py,COM pz
,N,N,N,N,m,m,N s,N s,N s,N,N,N,N,m,m,N s,N s,N s
2.339583,-4.999605,-14.169282,394.545319,394.831322,-0.024706,-0.376650,-0.395872,-0.584422,1161.743650,0.186867,0.254079,-5.610393,5.619251,0.000000,0.000000,-0.364879,-1.442073,-20.008995
2.340000,-5.040066,-13.888050,394.546792,394.823317,-0.024534,-0.375565,-0.393769,-0.578610,1161.907967,0.226906,0.294276,-6.082155,6.093496,0.000000,0.000000,-0.364982,-1.442212,-20.011464
2.340417,-5.120481,-13.968147,393.439457,393.720630,-0.025518,-0.377592,-0.391638,-0.572799,1162.072021,0.387124,0.575613,-5.605690,5.648447,0.000000,0.000000,-0.365121,-1.442413,-20.013909
2.340833,-5.160308,-13.927589,394.070474,394.350282,-0.024799,-0.377275,-0.389494,-0.566984,1162.236195,0.227032,0.294361,-6.712055,6.722342,0.000000,0.000000,-0.365224,-1.442561,-20.016618
2.341250,-5.120228,-14.048753,394.387202,394.670558,-0.024784,-0.377237,-0.387363,-0.561133,1162.400392,0.187056,0.374586,-6.548562,6.561933,0.000000,0.000000,-0.365318,-1.442692,-20.019358
2.341667,-5.039939,-14.129360,392.806479,393.092826,-0.025063,-0.378744,-0.385243,-0.555255,1162.564259,0.387124,0.093545,-6.555241,6.567328,0.000000,0.000000,-0.365454,-1.442776,-20.022078
2.342083,-5.240787,-14.089056,394.070964,394.357569,-0.025126,-0.376411,-0.383071,-0.549387,1162.728356,0.226906,0.454980,-6.395170,6.415348,0.000000,0.000000,-0.365560,-1.442923,-20.024754
2.342500,-5.281058,-14.008323,393.912835,394.197215,-0.025551,-0.376993,-0.380896,-0.543545,1162.892585,0.227032,0.214009,-6.393360,6.400968,0.000000,0.000000,-0.365674,-1.443032,-20.027396
2.342917,-4.959398,-14.008069,395.172906,395.452206,-0.025345,-0.374952,-0.378796,-0.537699,1163.057153,0.507115,0.254164,-6.083632,6.110019,0.000000,0.000000,-0.365841,-1.443155,-20.030040
2.343333,-5.120292,-14.129360,395.176335,395.461998,-0.025323,-0.375213,-0.376659,-0.531846,1163.221733,0.146892,0.535331,-7.337549,7.358518,0.000000,0.000000,-0.365936,-1.443344,-20.032934
2.343750,-5.321202,-13.767013,394.071456,394.347763,-0.025620,-0.376452,-0.374467,-0.526062,1163.386017,0.267008,0.334473,-6.239660,6.254320,0.000000,0.000000,-0.366044,-1.443506,-20.035566
2.344167,-5.160372,-14.089056,394.226132,394.511564,-0.025715,-0.375841,-0.372303,-0.520211,1163.550256,0.347086,0.455149,-5.605175,5.634324,0.000000,0.000000,-0.366169,-1.443687,-20.037945
2.344583,-5.200580,-14.128851,394.070478,394.357975,-0.025467,-0.377247,-0.370145,-0.514332,1163.714441,0.147080,0.455064,-5.603888,5.624257,0.000000,0.000000,-0.366253,-1.443894,-20.040401
2.345000,-5.120481,-14.048627,393.754713,394.038523,-0.025498,-0.377279,-0.367992,-0.508476,1163.878483,0.267071,0.695950,-7.345678,7.383405,0.000000,0.000000,-0.366353,-1.444153,-20.043330
2.345417,-5.321202,-14.008196,393.123695,393.409181,-0.025683,-0.376203,-0.365780,-0.502623,1164.042362,0.226969,0.495177,-7.183643,7.204265,0.000000,0.000000,-0.366456,-1.444373,-20.046181
2.345833,-5.441444,-14.209457,393.595607,393.889603,-0.025719,-0.376427,-0.363544,-0.496722,1164.206250,0.306858,0.495092,-4.977249,5.011216,0.000000,0.000000,-0.366573,-1.444571,-20.048561
2.346250,-5.120228,-14.128723,392.490721,392.778313,-0.025919,-0.377357,-0.361377,-0.490846,1164.369909,0.226969,0.374628,-7.188861,7.202193,0.000000,0.000000,-0.366664,-1.444730,-20.051370
2.346667,-5.280931,-13.887414,393.121731,393.402394,-0.026194,-0.376501,-0.359187,-0.485031,1164.533699,0.106979,0.294361,-6.710253,6.717558,0.000000,0.000000,-0.366709,-1.444867,-20.054144
2.347083,-5.280868,-14.048499,393.596595,393.882632,-0.025909,-0.376166,-0.356993,-0.479183,1164.697675,-0.013075,0.414910,-5.922418,5.936948,0.000000,0.000000,-0.366717,-1.445042,-20.056689
2.347500,-5.200643,-14.128723,393.752754,394.040478,-0.026668,-0.375303,-0.354815,-0.473327,1164.861717,0.066940,0.575613,-6.237847,6.264706,0.000000,0.000000,-0.366740,-1.445271,-20.059321
2.347917,-5.281058,-13.766250,393.595117,393.871191,-0.026078,-0.375643,-0.352636,-0.467549,1165.025758,0.067003,0.575613,-7.031229,7.055070,0.000000,0.000000,-0.366770,-1.445505,-20.062140
2.348333,-5.039749,-14.008069,394.066057,394.347160,-0.026331,-0.376143,-0.350500,-0.461727,1165.189865,0.106916,0.495261,-6.229708,6.250278,0.000000,0.000000,-0.366823,-1.445714,-20.064781
2.348750,-5.321392,-14.048372,393.278383,393.565192,-0.026600,-0.375907,-0.348289,-0.455865,1165.353819,0.266945,0.455022,-6.083138,6.105970,0.000000,0.000000,-0.366923,-1.445884,-20.067315
2.349167,-5.522049,-14.208948,393.752276,394.047258,-0.026794,-0.375854,-0.346002,-0.449953,1165.517926,0.267197,0.133657,-5.921764,5.929296,0.000000,0.000000,-0.367018,-1.445987,-20.069860
2.349583,-5.521987,-14.249123,394.858131,395.153734,-0.026466,-0.375216,-0.343718,-0.444044,1165.682330,0.026775,0.495261,-6.874398,6.892268,0.000000,0.000000,-0.367051,-1.446155,-20.072636
2.350000,-5.280868,-13.887286,394.226142,394.506014,-0.026540,-0.376146,-0.341500,-0.438212,1165.846558,0.106790,0.294403,-6.554098,6.561576,0.000000,0.000000,-0.367093,-1.446294,-20.075356
2.350417,-5.280931,-14.169026,393.122722,393.413426,-0.026531,-0.377024,-0.339289,-0.432331,1166.010381,0.146829,0.334516,-6.080526,6.091490,0.000000,0.000000,-0.367152,-1.446425,-20.077867
2.350833,-5.441698,-14.128341,392.329173,392.621194,-0.026817,-0.377369,-0.337049,-0.426444,1166.173994,0.147017,0.254122,-5.289939,5.298079,0.000000,0.000000,-0.367224,-1.446534,-20.080105
2.351250,-5.200580,-14.088547,393.593163,393.879565,-0.026761,-0.377847,-0.334860,-0.420568,1166.337870,0.306984,0.213967,-4.977408,4.991454,0.000000,0.000000,-0.367324,-1.446634,-20.082343
2.351667,-5.280931,-14.128341,393.121250,393.410492,-0.026361,-0.377594,-0.332657,-0.414696,1166.501737,0.067003,0.334473,-7.033334,7.041602,0.000000,0.000000,-0.367377,-1.446762,-20.085218
2.352083,-5.401364,-13.967383,393.594637,393.879424,-0.026736,-0.375896,-0.330409,-0.408859,1166.665734,0.187056,0.294192,-8.287101,8.294431,0.000000,0.000000,-0.367441,-1.446902,-20.088452
2.352500,-5.481969,-14.048116,394.067538,394.355963,-0.026945,-0.375854,-0.328139,-0.403020,1166.829918,0.106853,0.495219,-6.392208,6.412253,0.000000,0.000000,-0.367502,-1.447083,-20.091160
2.352917,-5.361156,-13.927207,394.383286,394.665536,-0.027444,-0.375568,-0.325880,-0.397186,1166.994179,0.267008,0.334516,-5.139610,5.157401,0.000000,0.000000,-0.367600,-1.447236,-20.093443
2.353333,-5.602275,-14.249378,393.746874,394.044453,-0.027288,-0.376975,-0.323563,-0.391279,1167.158328,0.227032,0.374797,-5.923704,5.939889,0.000000,0.000000,-0.367697,-1.447392,-20.095868
2.353750,-5.602465,-14.128341,394.382807,394.675558,-0.027244,-0.376103,-0.321217,-0.385390,1167.322632,0.226906,0.414825,-6.080708,6.099063,0.000000,0.000000,-0.367789,-1.447560,-20.098478
2.354167,-5.763105,-14.047862,394.697088,394.989047,-0.027033,-0.376094,-0.318838,-0.379539,1167.487089,0.187119,0.374586,-7.338828,7.350764,0.000000,0.000000,-0.367869,-1.447735,-20.101339
2.354583,-5.602338,-13.926698,395.014302,395.299428,-0.026697,-0.375250,-0.316498,-0.373697,1167.651536,0.186993,0.615599,-5.766086,5.801868,0.000000,0.000000,-0.367950,-1.447964,-20.103829
2.355000,-5.521987,-14.369651,393.275943,393.577116,-0.027078,-0.377552,-0.314189,-0.367766,1167.815587,0.227032,0.455107,-5.446260,5.469956,0.000000,0.000000,-0.368045,-1.448156,-20.106252
2.355417,-5.562257,-14.007432,394.225653,394.513640,-0.027344,-0.376689,-0.311877,-0.361902,1167.979760,0.267134,0.334558,-7.344064,7.356532,0.000000,0.000000,-0.368156,-1.448307,-20.109191
2.355833,-5.521923,-14.047735,393.909887,394.198972,-0.028213,-0.376422,-0.309571,-0.356054,1168.143966,0.307110,0.374628,-7.500231,7.515859,0.000000,0.000000,-0.368267,-1.448466,-20.112360
2.356250,-5.562321,-14.007813,394.698045,394.985703,-0.028068,-0.375536,-0.307242,-0.350203,1168.308358,0.106853,0.455107,-8.283342,8.296523,0.000000,0.000000,-0.368334,-1.448641,-20.115724
2.356667,-5.763105,-14.168390,394.537971,394.834354,-0.027800,-0.376088,-0.304854,-0.344322,1168.472782,0.227095,0.334516,-7.812407,7.822863,0.000000,0.000000,-0.368412,-1.448772,-20.118914
2.357083,-5.762978,-14.007813,394.858147,395.148563,-0.027610,-0.374965,-0.302453,-0.338469,1168.637316,0.107042,0.093460,-6.399216,6.400793,0.000000,0.000000,-0.368471,-1.448864,-20.121711
2.357500,-5.762978,-14.087656,395.328109,395.621015,-0.027660,-0.376326,-0.300052,-0.332607,1168.801982,0.186993,0.615852,-6.865772,6.895873,0.000000,0.000000,-0.368560,-1.449060,-20.124561
2.357917,-5.762851,-14.047481,395.014307,395.306015,-0.028185,-0.376629,-0.297626,-0.326768,1168.966604,0.426974,0.254206,-7.186431,7.203591,0.000000,0.000000,-0.368701,-1.449199,-20.127446
2.358333,-6.124339,-13.805788,395.170469,395.458983,-0.027877,-0.374695,-0.295127,-0.320977,1169.131280,0.146955,0.374543,-5.928922,5.942558,0.000000,0.000000,-0.368782,-1.449336,-20.130069
2.358750,-5.722834,-14.128468,395.643349,395.936894,-0.026973,-0.375464,-0.292714,-0.315101,1169.296066,0.147017,0.213967,-6.869038,6.873942,0.000000,0.000000,-0.368846,-1.449439,-20.132843
2.359167,-5.722834,-14.289172,395.171439,395.471108,-0.027928,-0.375749,-0.290316,-0.309178,1169.460743,0.186993,0.254164,-6.546107,6.553707,0.000000,0.000000,-0.368924,-1.449553,-20.135627
2.359583,-5.923618,-14.007432,395.012840,395.305504,-0.028501,-0.375795,-0.287865,-0.303322,1169.625331,0.226969,0.414867,-7.026830,7.042724,0.000000,0.000000,-0.369005,-1.449723,-20.138456
2.360000,-5.883538,-14.007559,394.855198,395.147384,-0.027088,-0.377488,-0.285408,-0.297494,1169.789986,0.066877,0.535458,-6.084449,6.108331,0.000000,0.000000,-0.369060,-1.449935,-20.141078
2.360417,-5.923618,-13.886649,396.591607,396.878862,-0.027718,-0.375153,-0.282953,-0.291697,1169.955090,0.307110,0.495304,-6.391089,6.417605,0.000000,0.000000,-0.369158,-1.450144,-20.143775
2.360833,-5.763041,-13.927207,396.275860,396.562399,-0.028096,-0.375167,-0.280549,-0.285899,1170.120238,0.107167,0.495304,-7.186431,7.204277,0.000000,0.000000,-0.369216,-1.450350,-20.146713
2.361250,-5.642355,-13.886522,396.434948,396.718212,-0.027849,-0.375998,-0.278165,-0.280099,1170.285342,0.107042,0.495219,-7.182681,7.200528,0.000000,0.000000,-0.369272,-1.450548,-20.149717
2.361667,-6.004034,-14.047607,395.486222,395.781171,-0.027868,-0.376320,-0.275688,-0.274260,1170.450227,0.266945,0.374713,-7.341785,7.356186,0.000000,0.000000,-0.369386,-1.450707,-20.152733
2.362083,-6.003970,-14.007304,395.959118,396.252288,-0.027584,-0.375458,-0.273195,-0.268429,1170.615122,0.467076,0.294319,-6.868703,6.890854,0.000000,0.000000,-0.369564,-1.450847,-20.155595
2.362500,-5.883538,-13.886268,395.171452,395.459127,-0.028242,-0.376360,-0.270749,-0.262629,1170.779886,0.426912,0.454980,-6.395950,6.426308,0.000000,0.000000,-0.369739,-1.451017,-20.158413
2.362917,-5.682626,-13.967255,395.959601,396.246617,-0.028128,-0.376577,-0.268353,-0.256826,1170.944881,0.347086,0.334473,-8.129954,8.144231,0.000000,0.000000,-0.369892,-1.451162,-20.161581
2.363333,-5.883411,-13.805916,396.907848,397.191463,-0.028870,-0.375697,-0.265902,-0.251052,1171.110094,0.386810,0.294361,-6.705544,6.723138,0.000000,0.000000,-0.370034,-1.451298,-20.164584
2.363750,-6.084449,-13.966874,395.486225,395.779545,-0.028360,-0.377167,-0.263386,-0.245240,1171.274979,0.146829,0.455107,-8.287911,8.301696,0.000000,0.000000,-0.370120,-1.451471,-20.167818
2.364167,-6.004097,-14.007813,395.486711,395.780250,-0.028036,-0.376324,-0.260899,-0.239421,1171.439820,0.266945,0.374628,-6.711730,6.727476,0.000000,0.000000,-0.370220,-1.451625,-20.170702
2.364583,-5.722770,-13.805788,396.276331,396.558042,-0.028434,-0.376576,-0.258467,-0.233635,1171.604891,0.226906,0.254164,-6.395162,6.404232,0.000000,0.000000,-0.370315,-1.451750,-20.173410
2.365000,-6.124529,-14.087784,396.433970,396.731481,-0.028622,-0.375691,-0.255943,-0.227798,1171.770072,0.186993,0.414867,-6.708134,6.723552,0.000000,0.000000,-0.370404,-1.451917,-20.176217
2.365417,-6.124593,-13.886268,396.591598,396.881890,-0.028527,-0.375987,-0.253410,-0.221993,1171.935209,0.306984,0.495177,-7.184144,7.207730,0.000000,0.000000,-0.370531,-1.452101,-20.179100
2.365833,-5.843330,-13.966746,395.169975,395.459888,-0.028749,-0.378028,-0.250959,-0.216168,1172.100104,0.426974,0.254079,-6.077936,6.098210,0.000000,0.000000,-0.370715,-1.452224,-20.181742
2.366250,-5.803185,-14.127705,397.223112,397.516628,-0.028690,-0.375079,-0.248521,-0.210306,1172.265405,0.627043,0.254122,-6.552313,6.587151,0.000000,0.000000,-0.370948,-1.452344,-20.184396
2.366667,-6.044305,-13.926189,396.272902,396.563595,-0.027890,-0.377122,-0.246014,-0.204493,1172.430640,0.427100,0.455149,-5.928939,5.961702,0.000000,0.000000,-0.371140,-1.452531,-20.186855
2.367083,-6.124593,-13.885885,397.065468,397.355400,-0.028410,-0.374842,-0.243476,-0.198690,1172.596029,0.426974,0.615725,-5.135201,5.189577,0.000000,0.000000,-0.371302,-1.452745,-20.189203
2.367500,-6.004097,-14.087147,397.064000,397.359178,-0.028758,-0.376208,-0.240960,-0.192843,1172.761505,0.186930,0.173854,-7.339346,7.343785,0.000000,0.000000,-0.371407,-1.452862,-20.192053
2.367917,-6.084385,-13.966364,397.535930,397.827720,-0.028797,-0.375916,-0.238436,-0.187026,1172.927058,0.347023,0.374628,-6.557999,6.577851,0.000000,0.000000,-0.371546,-1.453010,-20.194873
2.368333,-6.004034,-13.805788,396.747270,397.032801,-0.028949,-0.375431,-0.235929,-0.181254,1173.092490,0.427100,0.455022,-7.026678,7.054336,0.000000,0.000000,-0.371705,-1.453205,-20.197691
2.368750,-6.004097,-13.926443,397.695518,397.984573,-0.028713,-0.375632,-0.233419,-0.175457,1173.258086,0.227032,0.615768,-5.921598,5.957855,0.000000,0.000000,-0.371819,-1.453434,-20.200235
2.369167,-6.124593,-13.966364,397.064498,397.357252,-0.028575,-0.376781,-0.230892,-0.169643,1173.423596,0.306858,0.374713,-5.923569,5.943336,0.000000,0.000000,-0.371941,-1.453604,-20.202648
2.369583,-5.883664,-13.926061,397.379761,397.667231,-0.028918,-0.375930,-0.228413,-0.163841,1173.589127,0.307047,0.334473,-5.129189,5.149246,0.000000,0.000000,-0.372061,-1.453749,-20.204950
2.370000,-6.044114,-13.885758,397.062535,397.351233,-0.029254,-0.376235,-0.225917,-0.158050,1173.754613,0.186805,0.374755,-6.711240,6.724291,0.000000,0.000000,-0.372155,-1.453908,-20.207560
2.370417,-5.883538,-13.926189,397.379275,397.666749,-0.029085,-0.375374,-0.223412,-0.152258,1173.920166,0.307047,0.454980,-5.603888,5.630705,0.000000,0.000000,-0.372300,-1.454103,-20.209918
2.370833,-6.486017,-13.805279,397.376826,397.669455,-0.028839,-0.375948,-0.220771,-0.146475,1174.085806,0.667081,0.615725,-4.822548,4.907249,0.000000,0.000000,-0.372539,-1.454326,-20.212112
2.371250,-6.205008,-14.127068,398.326057,398.624791,-0.029141,-0.374732,-0.218180,-0.140622,1174.251698,0.467076,0.294276,-6.709291,6.731964,0.000000,0.000000,-0.372722,-1.454493,-20.214712
2.371667,-6.004224,-13.966237,398.167431,398.457538,-0.029094,-0.375874,-0.215659,-0.134803,1174.417612,0.106979,0.615641,-5.772758,5.806479,0.000000,0.000000,-0.372800,-1.454714,-20.217247
2.372083,-6.084449,-13.805151,398.167427,398.453137,-0.029418,-0.374784,-0.213118,-0.129040,1174.583515,0.226906,0.414910,-6.710587,6.727229,0.000000,0.000000,-0.372889,-1.454900,-20.219880
2.372500,-6.245279,-13.805025,398.167913,398.456107,-0.029395,-0.376171,-0.210527,-0.123293,1174.749418,0.266945,0.414867,-5.296589,5.319514,0.000000,0.000000,-0.372984,-1.455082,-20.222251
2.372917,-6.245343,-13.725055,398.166449,398.451882,-0.029062,-0.376462,-0.207936,-0.117569,1174.915420,0.066688,0.535458,-6.242241,6.265520,0.000000,0.000000,-0.373039,-1.455282,-20.224917
2.373333,-6.084576,-13.725055,399.588088,399.870028,-0.028897,-0.374431,-0.205381,-0.111831,1175.081772,0.266756,0.334516,-8.130119,8.141369,0.000000,0.000000,-0.373128,-1.455430,-20.228064
2.373750,-6.205262,-14.006286,398.957067,399.251078,-0.029592,-0.375262,-0.202810,-0.106023,1175.248004,0.147017,0.254122,-6.550840,6.557416,0.000000,0.000000,-0.373209,-1.455558,-20.230914
2.374167,-6.124656,-13.885631,398.323108,398.612118,-0.029482,-0.376985,-0.200258,-0.100223,1175.414137,0.306921,0.495219,-6.710578,6.735823,0.000000,0.000000,-0.373329,-1.455740,-20.233721
2.374583,-6.044431,-13.966110,400.062449,400.351784,-0.029281,-0.375474,-0.197717,-0.094395,1175.580763,0.346897,0.374670,-7.027653,7.046178,0.000000,0.000000,-0.373454,-1.455904,-20.236551
2.375000,-6.285170,-14.167371,400.847175,401.146701,-0.029441,-0.374850,-0.195123,-0.088526,1175.747685,0.106979,0.374797,-5.928597,5.941395,0.000000,0.000000,-0.373515,-1.456057,-20.239064
2.375417,-6.164800,-13.885503,400.217149,400.505404,-0.029668,-0.376029,-0.192546,-0.082723,1175.914573,0.106853,0.334389,-5.452111,5.463401,0.000000,0.000000,-0.373562,-1.456186,-20.241413
2.375833,-6.164673,-13.845200,401.479171,401.765127,-0.029906,-0.374301,-0.189972,-0.076969,1176.081714,0.146955,0.133615,-6.081011,6.084254,0.000000,0.000000,-0.373648,-1.456275,-20.243914
2.376250,-6.244898,-13.603635,400.691501,400.970992,-0.030037,-0.374378,-0.187384,-0.071247,1176.248756,0.546965,0.414825,-6.238015,6.275673,0.000000,0.000000,-0.373829,-1.456434,-20.246535
2.376667,-6.124593,-14.126685,401.163419,401.458793,-0.029438,-0.375111,-0.184826,-0.065425,1176.415897,0.266945,0.495134,-6.712215,6.735744,0.000000,0.000000,-0.373960,-1.456634,-20.249168
2.377083,-6.084449,-13.724290,401.480156,401.760740,-0.030081,-0.374590,-0.182269,-0.059665,1176.583202,0.266819,0.495219,-4.820094,4.852807,0.000000,0.000000,-0.374074,-1.456827,-20.251417
2.377500,-6.365649,-13.925043,402.111177,402.402569,-0.029833,-0.372877,-0.179630,-0.053894,1176.750661,0.306984,0.294361,-6.394014,6.408144,0.000000,0.000000,-0.374185,-1.456977,-20.254005
2.377917,-6.446000,-13.684242,401.480162,401.765018,-0.030199,-0.374870,-0.176961,-0.048186,1176.917999,0.107042,0.495219,-6.873255,6.891904,0.000000,0.000000,-0.374243,-1.457164,-20.256791
2.378333,-6.285170,-13.523157,401.636822,401.913567,-0.029960,-0.374883,-0.174315,-0.042521,1177.085403,0.106979,0.414867,-6.240774,6.255463,0.000000,0.000000,-0.374288,-1.457331,-20.259381
2.378750,-6.526415,-13.804770,402.584565,402.874047,-0.029365,-0.373691,-0.171615,-0.036803,1177.253080,0.106979,0.254164,-5.447715,5.454690,0.000000,0.000000,-0.374338,-1.457474,-20.261727
2.379167,-6.486208,-13.603508,402.585048,402.867035,-0.029533,-0.374814,-0.168923,-0.031109,1177.420780,0.186930,0.615810,-5.763647,5.799464,0.000000,0.000000,-0.374419,-1.457691,-20.264140
2.379583,-6.285106,-13.764339,401.954527,402.239234,-0.029936,-0.374830,-0.166282,-0.025408,1177.588415,0.306984,0.414825,-6.235403,6.256722,0.000000,0.000000,-0.374525,-1.457886,-20.266815
2.380000,-6.405856,-13.442168,403.530852,403.805492,-0.030132,-0.373407,-0.163627,-0.019784,1177.756498,0.106916,0.535416,-7.813218,7.832271,0.000000,0.000000,-0.374569,-1.458090,-20.269928
2.380417,-6.325504,-13.442423,404.320974,404.593822,-0.029345,-0.373089,-0.160966,-0.014164,1177.924822,-0.093152,0.374670,-7.344055,7.354196,0.000000,0.000000,-0.374564,-1.458265,-20.272933
2.380833,-6.606577,-13.723653,403.056490,403.344171,-0.029730,-0.374497,-0.158239,-0.008465,1178.092894,0.186867,0.495177,-6.077446,6.100448,0.000000,0.000000,-0.374616,-1.458461,-20.275608
2.381250,-6.526415,-13.724036,403.689949,403.975888,-0.030022,-0.374456,-0.155514,-0.002752,1178.261054,0.106916,0.454980,-6.867907,6.883791,0.000000,0.000000,-0.374661,-1.458667,-20.278436
2.381667,-6.526162,-13.643684,403.688479,403.971693,-0.029529,-0.374469,-0.152803,0.002916,1178.429357,0.027027,0.655796,-7.182348,7.212275,0.000000,0.000000,-0.374678,-1.458926,-20.281385
2.382083,-6.405792,-13.321513,405.112065,405.381650,-0.030177,-0.373328,-0.150123,0.008491,1178.598054,0.027027,0.655965,-6.865780,6.897097,0.000000,0.000000,-0.374700,-1.459166,-20.284224
2.382500,-6.446000,-13.362198,405.108627,405.380191,-0.029517,-0.373601,-0.147437,0.014059,1178.766762,0.186993,0.173897,-6.239145,6.244368,0.000000,0.000000,-0.374759,-1.459289,-20.286835
2.382917,-6.486144,-13.402119,403.847090,404.121465,-0.030425,-0.374761,-0.144726,0.019646,1178.935262,0.066940,0.414825,-5.764950,5.780243,0.000000,0.000000,-0.374820,-1.459453,-20.289281
2.383333,-6.646911,-13.482599,405.899736,406.177988,-0.029679,-0.372721,-0.141976,0.025267,1179.104310,0.426974,0.535416,-5.922742,5.962202,0.000000,0.000000,-0.374948,-1.459660,-20.291759
2.383750,-6.526034,-13.603126,406.846509,407.126167,-0.030113,-0.373738,-0.139229,0.030923,1179.273687,0.066814,0.414740,-6.237369,6.251500,0.000000,0.000000,-0.375017,-1.459827,-20.294336
2.384167,-6.807424,-13.563078,405.740641,406.024342,-0.029425,-0.373266,-0.136426,0.036569,1179.442866,0.306921,0.213925,-6.238846,6.250053,0.000000,0.000000,-0.375117,-1.459947,-20.296958
2.384583,-6.606577,-13.442423,406.374592,406.650531,-0.030056,-0.374057,-0.133654,0.042192,1179.612112,0.146955,0.455064,-6.553279,6.570704,0.000000,0.000000,-0.375187,-1.460097,-20.299721
2.385000,-6.686992,-13.643047,405.898268,406.182536,-0.029673,-0.374063,-0.130881,0.047846,1179.781259,0.107042,0.133742,-7.343911,7.345908,0.000000,0.000000,-0.375248,-1.460195,-20.302715
2.385417,-6.566369,-13.402374,405.741127,406.015520,-0.030107,-0.375191,-0.128117,0.053461,1179.950339,0.307110,0.414952,-7.182031,7.200560,0.000000,0.000000,-0.375346,-1.460354,-20.305741
2.385833,-6.847505,-13.603126,405.898746,406.184349,-0.030796,-0.374064,-0.125295,0.059101,1180.119540,0.066877,0.495219,-7.496810,7.513447,0.000000,0.000000,-0.375404,-1.460549,-20.308766
2.386250,-6.686929,-13.401610,407.160310,407.435683,-0.029906,-0.373476,-0.122481,0.064705,1180.289158,0.267008,0.414825,-6.394664,6.413665,0.000000,0.000000,-0.375504,-1.460727,-20.311573
2.386667,-6.927921,-13.482726,407.949439,408.230970,-0.030224,-0.372878,-0.119630,0.070312,1180.459115,0.306858,0.414783,-7.338359,7.356475,0.000000,0.000000,-0.375629,-1.460889,-20.314565
2.387083,-6.646657,-13.401993,408.424294,408.698172,-0.029655,-0.373674,-0.116833,0.075913,1180.629269,0.306984,0.254164,-7.345519,7.356323,0.000000,0.000000,-0.375749,-1.461009,-20.317549
2.387500,-6.767216,-13.563205,408.581449,408.862515,-0.030521,-0.373642,-0.114011,0.081539,1180.799490,0.186930,0.294276,-6.239484,6.249216,0.000000,0.000000,-0.375849,-1.461148,-20.320280
2.387917,-6.927793,-13.361307,408.423807,408.701022,-0.030269,-0.372866,-0.111149,0.087134,1180.969557,0.386936,0.575486,-7.026179,7.060319,0.000000,0.000000,-0.375974,-1.461346,-20.323098
2.388333,-6.727009,-13.562441,406.686928,406.968610,-0.030669,-0.374296,-0.108316,0.092774,1181.139426,0.066940,0.254291,-6.242407,6.247943,0.000000,0.000000,-0.376033,-1.461488,-20.325830
2.388750,-6.968065,-13.602999,410.949850,411.233966,-0.029593,-0.371889,-0.105432,0.098436,1181.310239,0.186867,0.455107,-7.340634,7.357102,0.000000,0.000000,-0.376110,-1.461656,-20.328845
2.389167,-6.927793,-13.562696,409.212461,409.495762,-0.029804,-0.373878,-0.102540,0.104084,1181.480909,0.307047,0.334431,-7.815993,7.829168,0.000000,0.000000,-0.376233,-1.461803,-20.332069
2.389583,-6.968128,-13.482217,409.846420,410.127313,-0.030400,-0.373578,-0.099633,0.109691,1181.651645,0.346960,0.334389,-7.814196,7.829039,0.000000,0.000000,-0.376380,-1.461957,-20.335270
2.390000,-7.048670,-13.240652,410.003070,410.277365,-0.030459,-0.373061,-0.096722,0.115252,1181.822556,0.427037,0.535458,-7.025049,7.058356,0.000000,0.000000,-0.376541,-1.462155,-20.338285
2.390417,-6.767216,-13.642792,411.265113,411.546977,-0.029917,-0.372673,-0.093860,0.120898,1181.993610,0.266882,0.374501,-7.499256,7.513343,0.000000,0.000000,-0.376678,-1.462314,-20.341376
2.390833,-7.088433,-13.481834,408.107566,408.391713,-0.031083,-0.375574,-0.090946,0.126524,1182.164038,0.467013,0.254206,-7.491284,7.510130,0.000000,0.000000,-0.376833,-1.462439,-20.344510
2.391250,-6.847505,-13.441787,410.475000,410.752110,-0.030368,-0.373549,-0.088048,0.132133,1182.335026,0.106979,0.414783,-7.656893,7.668865,0.000000,0.000000,-0.376906,-1.462598,-20.347743
2.391667,-7.249390,-13.522393,412.211388,412.496833,-0.030590,-0.373975,-0.085069,0.137756,1182.506605,0.147080,0.374628,-8.441329,8.450917,0.000000,0.000000,-0.376978,-1.462762,-20.351085
2.392083,-7.048289,-13.441531,411.422260,411.702112,-0.030917,-0.372956,-0.082121,0.143379,1182.678163,0.347149,0.455022,-6.709785,6.734149,0.000000,0.000000,-0.377095,-1.462941,-20.354056
2.392500,-7.008145,-13.683096,412.527634,412.813989,-0.030437,-0.372865,-0.079182,0.149063,1182.850027,0.147080,0.374670,-7.494856,7.505657,0.000000,0.000000,-0.377178,-1.463105,-20.357103
2.392917,-7.249263,-13.683096,413.316283,413.606249,-0.031230,-0.373355,-0.076167,0.154753,1183.022144,0.267008,0.414740,-7.184963,7.201874,0.000000,0.000000,-0.377273,-1.463264,-20.360085
2.393333,-7.409840,-13.522137,412.686252,412.974208,-0.031418,-0.373409,-0.073079,0.160413,1183.194206,0.146892,0.254122,-6.706528,6.712948,0.000000,0.000000,-0.377348,-1.463384,-20.362946
2.393750,-7.570544,-13.723272,413.630574,413.927401,-0.030845,-0.373067,-0.069967,0.166106,1183.366442,0.227095,0.294445,-7.186107,7.195721,0.000000,0.000000,-0.377440,-1.463504,-20.365917
